id,River,Country,Subregion,AreaKM2,Long,Lat,WWF_Realm,WWF_Biome,Inland,Human_footprint,Population,HANPP,Flow_disruption,Attainable_yield,Food_calories,Food_area,Food_value,Nonfood_calories,Nonfood_area,Nonfood_value,Feed_calories,Pasture_area,Aquaculture,Fish_river,Fish_marine,Oil_area,Discharge,Water_available,Water_withdrawal,Water_quality,Sediment,River_flood,Coast_flood,Navigable_water,C_soil,Soil_C_density,Soil_CEC,Soil_N,Soil_water,Soil_loss,Pollination_supply,Alpha,Bdiv_intactn_abund,Bdiv_intactn_richn,Amphib_richn,Bird_richn,Mammal_richn,Marine_animal_richn,Marine_plant_richn,Plant_richn,Seabird_richn,Amphib_unthrtnd,Bird_unthrtnd,Mammal_unthrtnd,Marine_unthrtnd,Seabird_unthrtnd,Forest_cover,Wetlands,NPP_pot,NPP,C_veg_pot,C_veg
1,Volga,Russia,Eastern Europe,13477.526,48.32856041,46.06801514,Palearctic,Deserts and Xeric Shrublands,1,5.80239251,75.98701384,0.319646332,0.798130159,175.0567365,172011495.6,134.5319768,3182.916275,16784931.77,2.509883734,804.7186105,370483990.2,0.593853703,0.966844111,0.974655897,0,27.75745195,255.63,2.03E+11,325016000,656.9063484,0.01328644,10.07112475,3.141273397,0.365778847,93.10550279,608.7697854,30.62495504,2.499845554,17.27611723,40.62441534,0.122351138,0.576665931,0.594857473,0.551419675,2.233758752,156.6946565,25.00097492,0,0,889.0967891,0,1,0.964422506,0.943074416,1,1,0.00073117,972.8393389,244.8663423,186.2331701,13.93766817,339.7479013
2,Tiber,Italy,Southern Europe,19.566,12.25474312,41.75941933,Palearctic,"Mediterranean Forests, Woodlands and Scrub",0,33.85260913,2027.302579,0.595052421,0.5673,58.35587132,21289459712,365.2780546,5304.579355,811633536,211.8955947,1491.317848,15340167168,0,0.7349,0,0.183023207,0,1.37,3754188114,1980696000,674.608086,59.87480331,9.363944792,3.081036816,2.254639415,51.02333374,369.7728238,21.40127389,1.409999967,19,40.72827803,1,0.438098162,0.49364691,0.477272029,10.6,155.5404415,55.36666667,768,10,1304.3,6.488559408,0.9,0.974283216,0.981818182,0.911677197,0.691765171,7.77E-05,0,569.513916,552.2539673,17.36225981,1061.538462
3,Neman ,Lithuania,Eastern Europe,75.152,21.32164992,55.30359404,Palearctic,Temperate Broadleaf and Mixed Forests,0,5.365626961,30.9895834,0.22738108,0.398499995,78.89590227,377042011.5,113.9734637,544.2107083,40397146.12,1.091332264,191.8750377,684866051.2,0.138173504,0.937900007,0.8495,0.079194278,49.56773649,21.31999969,25682513251,3005805000,677.290948,1.513118292,10.1370678,3.113024802,1.459528715,64.43662083,1126.355823,35.58687616,0.989090919,17.60606061,40.63456802,0,0.677206214,0.577401583,0.467243427,5.866666667,197.5548064,44.26,20,0,1014.5,3,1,0.97682292,1,0.950277392,1,0.005055651,1000,627.854187,561.7615967,2,532.1705426
4,Dniester ,Ukraine,Eastern Europe,641.857,30.02488495,46.49244661,Palearctic,"Temperate Grasslands, Savannas and Shrublands",0,7.860609357,64.76098107,0.489217639,0.861023587,119.1357227,2624619400,875.1599991,1337.899994,358569546.8,133.9800018,560.4800018,4306722525,0.161710319,0.903597777,0.824288299,0,3.070628994,11.86,17522183780,3261720000,667.0850847,0.878648918,9.792175082,3.141273397,1.326824578,55.39324055,705.5261605,32.06105124,6.019499917,24.26111111,40.38601857,0.811575892,0.409949001,0.637992487,0.612144947,10.13611111,197,54.51851852,56.98655957,4,1019.1,1,1,0.969543147,0.981770833,0.946499584,0,0.016253271,534.0364334,472.5208313,339.2114807,3,753.3103082
5,Apalachicola,United States of America,Northern America,210.522,-85.00312563,29.82731073,Nearctic,Temperate Conifer Forests,0,5.040660557,1.748855133,0.473141621,0.493499994,0,0,0,0,0,0,0,0,0.089754462,0.836388924,0,0.160450193,0,21.53,23933204259,5302520000,674.8407602,0.220439093,9.855280521,3.089240985,1.525207229,109.967033,846.4702982,30.2950456,15.77999973,35,40.66191455,0,0.877722425,0.779498594,0.794843976,35.94244604,206.5897057,43.79136691,1585.511971,45.36486034,1392.2,8.766787701,0.950185041,0.985478463,0.975,0.88806706,1,0.055397559,555.4393305,609.8148193,524.9200033,128,10963.93443
13,St Clair,United States of America,Northern America,316.2,-82.55880916,42.5685154,Nearctic,Temperate Broadleaf and Mixed Forests,1,14.08496178,103.4240476,0.497057259,0.257683175,163.133955,2318248960,617.0800217,937.5799988,371595319.8,2.479999986,1772.33999,5318221024,0.033025685,0.81557498,0.822768804,0,90.8574336,112.4253379,73687070637,3618357300,663.611005,0.004596318,9.281286581,3.141273397,1.502653998,71.2075967,885.1032619,28.38247903,4.563892523,18.95973154,38.39829196,0.972593349,0.678190522,0.627503593,0.604643305,7.331313131,178,19.69494949,0,0,1162,0,1,0.985955056,1,1,1,0.007450342,89.43965517,583.8888855,437.3318481,30.8,899.3707094
14,Digul,Indonesia,South-Eastern Asia,3552.807,138.9425611,-6.995827058,Australasia,Tropical and Subtropical Moist Broadleaf Forests,0,1.135358207,6.096798873,0.105014928,0,146.5711557,1043599628,24.26829274,1535.926831,250514070.4,5.558536616,534.9780508,1323824.376,0.006715389,0.946961054,0.965909852,0.096156637,0,53.79875836,1505209475,158000,647.2110121,0.004831228,10.08199329,3.064525239,0.214386591,45.28802641,839.4767078,24.19987543,1.202807492,16.98334794,37.82216559,0.700492499,0.743885935,0.827903377,0.741001152,2.373419232,254.6,22.26723932,1550.666667,31.33333333,2311.657169,13,1,0.988665694,0.929006085,0.62369886,0.923076923,0.035748041,409.0799904,1063.770132,1001.905449,197.5609756,12183.0727
15,Zambezi,Mozambique,Eastern Africa,1199.332,36.24840124,-18.70414423,Afrotropic,Mangroves,0,6.41064432,47.42293199,0.067967392,0.614499986,122.4393492,168552736,953.7100018,561.9600021,21856486,81.95000123,2395.589987,34651608,0.13146373,0.961600006,0.968200028,0.069342964,0,265.8099976,2.42E+11,60014100,675.4354286,0.000103772,9.801508497,2.942213428,0.902771678,93.80630676,326.2375205,24.654678,0.760447212,12.08870968,37.63651481,0,0.49261103,0.820097674,0.733604571,26.53887762,364.7857143,73.8647735,1793.465787,29.36339751,1376.1,10.22208479,1,0.973174075,0.953287197,0.764352204,0.804345196,0.012394196,328.0662152,851.3666707,807.8930216,94.58823529,14224.86402
16,Saskatchewan,Canada,Northern America,901.871,-100.6364182,53.58277523,Nearctic,Boreal Forests/Taiga,1,0.117681293,0,0.442319541,0.729752073,35.63201737,242857197.6,13.80000019,502.3999939,25991525.3,10.39999962,457.1000061,195353220.8,0.015982793,0.712184911,0.014672661,0,0,16.25600167,24761061569,185517060,673.1167495,0.246771909,9.836896458,3.141273397,1.610444215,110.2699269,762.548815,54.29065434,5.021201976,19.65941614,40.70824158,0,0.89897663,0.801645686,0.818285163,3.283008037,161.7777778,40.68943743,0,0,847.7679932,0,1,0.981456044,0.975935829,1,1,0.01907347,747.821878,570.6149015,421.4400607,20.16666667,950.4548408
17,Kikori,Papua New Guinea,Melanesia,1546.783,144.3948471,-7.543369386,Australasia,Mangroves,0,1.99999997,1.498394806,0.051633786,0,23.27525473,151291424.7,241.1000061,2040.400024,10247624.97,112.3000031,786.2000122,11992539.37,0.001317677,0,0.909256294,0.008841101,36.11211,46.56615618,47171961904,43800000,676.2098547,4.590392877,10.20030211,2.883108887,1.183292867,153.8518138,649.2829014,22.4715506,1.233989133,19.53437713,40.69493292,1,0.95758539,0.805684846,0.746086883,11.56153846,251.3125,33.43956044,6123.5,83.5,2943.443368,13.94834141,1,0.984083561,0.966451613,0.46481964,1,0.048114276,1000,1074.03023,1022.42967,145.5882353,17592.96086
